,Work Happiness Score,Flexibility,Learning,Achievement,Appreciation,Inclusion,Support,Purpose,Energy,Compensation,Satisfaction,Management,Trust,Belonging,Stress-free,Company
318,66,75,70,70,69,68,68,72,66,71,67,64,63,61,57,CACI
319,60,63,72,69,71,68,71,72,61,71,63,64,66,63,51,Navy Federal Credit Union
320,74,74,77,80,77,78,73,79,75,69,,76,73,71,,Procom
321,56,57,64,66,61,56,60,64,58,66,56,54,53,53,50,Bridgestone Americas
322,74,74,83,79,78,78,80,77,75,74,71,71,73,73,,The Joint Commission
323,44,48,60,65,56,55,56,54,52,54,,48,52,48,,"Intermex Wire Transfer, LLC"
,Work Happiness Score,Compensation,Achievement,Flexibility,Learning,Purpose,Support,Appreciation,Energy,Inclusion,Belonging,Management,Trust,Satisfaction,Stress-free,Company
0,65,78,76,74,73,71,70,69,69,69,67,66,66,64,53,Devoted Health
1,55,63,59,56,60,59,61,62,53,65,54,58,58,57,48,Homesite Insurance
2,78,67,78,81,77,80,78,79,78,80,76,77,76,79,67,Live Nation
3,56,41,65,60,67,61,60,61,57,59,50,56,51,50,50,Pet Supermarket
4,62,69,69,72,70,68,68,68,63,68,62,64,63,62,52,American Family Insurance
5,77,72,78,79,78,82,80,81,75,79,74,77,76,76,62,BCD Travel Corporate
6,55,,67,,70,67,64,68,59,57,58,55,62,,,Wings Financial Credit Union
7,72,65,75,79,75,73,75,74,72,74,73,70,67,,,Warner Music Group
8,81,72,84,84,84,84,82,84,80,82,80,79,81,81,58,Texas A&M University
9,54,65,63,52,63,61,57,58,57,53,50,51,50,55,54,Georgia-Pacific
10,69,81,66,79,70,69,81,82,68,74,70,62,65,,,Cityblock Health
11,50,59,60,45,62,63,54,51,51,47,45,45,43,48,45,ClearChoice Dental Implant Centers
12,70,58,75,71,71,73,72,74,71,72,66,70,66,65,59,Foot Locker
13,53,48,65,63,61,65,61,64,57,55,50,55,52,52,54,State of South Carolina
14,76,74,81,72,78,85,74,76,78,73,67,73,70,,,Yorktown Systems Group
15,56,65,65,59,62,65,60,61,57,58,54,55,54,55,52,AmerisourceBergen
16,54,64,63,55,61,62,62,63,56,57,54,54,54,55,58,Pella Corporation
17,60,50,67,64,62,58,66,67,59,66,57,62,57,57,54,Blizzard Entertainment
